FEATURE_ID,FEATURE_NAME
1,LAND_USE_TYP_EXEMPT
2,LAND_USE_TYP_COMMERCIAL
3,ORDER_NOTES_CNT
4,LAND_USE_TYP_INDUSTRIAL
5,LAND_USE_TYP_RESIDENTIAL
6,SERVICE_TYPE_Threshold
7,NUM_RSCHDL
8,SERVICE_TYPE_Outside Delivery
9,DWLG_TYP_RESIDENTIAL OTHER
10,CUST_ORD_TOTAL
11,ELECTRICAL_CNT
12,IS_CALL_REQUESTED
13,PLUMBING_CNT
14,VEHICLE_TYPE_FLAT
15,WORK_ORD_TOTAL
16,TAT_DAYS
17,DWLG_TYP_TOWNHOUSE/OTHER ATTACHED RESIDENCE
18,WTHR_CATEGORY_Cloudy
19,CUBEFT
20,DWLG_TYP_CONDOMINIUM
21,Report generation datetime
22,IS_SPL_ORD
23,CUST_NOTES_CNT
24,GARDEN_CNT
25,HARDWARE_CNT
26,IS_SPECIFIC_DLVRY_WINDOW
27,PALLET
28,NON_MERCHANDISE_CNT
29,WTHR_CATEGORY_Rainy
30,LAND_USE_TYP_VACANT/LAND
31,LAND_USE_TYP_RECREATIONAL
32,WTHR_CATEGORY_Clear
33,BUILDING_MATERIALS_CNT
34,QTY
35,KITCHEN_CNT
36,IS_DRIVEWAY_ISSUE
37,MILLWORK_CNT
38,WTHR_CATEGORY_Thunderstorm
39,PAINT_CNT
40,IS_ADDRESS_ISSUE
41,DWLG_TYP_SINGLE FAMILY RESIDENCE
42,DWLG_TYP_OTHER
43,IS_INSTALL_ORDER
44,DWLG_TYP_APARTMENT
45,FLOORING_CNT
46,LUMBER_CNT
47,WEIGHT
