sku_id,sku_name,sku_price,recommended_sku_id,recommended_sku_name,recommended_price
SKU-6LSA529J,Dishwasher - Built-in Stainless Steel,1407.24,SKU-6LSA529J-R1,Dishwasher - Energy Star Quiet 48 dBA,1548.91
SKU-6LSA529J,Dishwasher - Built-in Stainless Steel,1407.24,SKU-6LSA529J-R2,Dishwasher - Stainless Steel Top Control,1372.24
SKU-6LSA529J,Dishwasher - Built-in Stainless Steel,1407.24,SKU-6LSA529J-R3,Dishwasher - Smart WiFi Enabled Model,1402.85
SKU-3IT906P8,Hammer - 16oz Steel Claw,99,SKU-3IT906P8-R1,Hammer - Fiberglass Handle 20oz,92.27
SKU-3IT906P8,Hammer - 16oz Steel Claw,99,SKU-3IT906P8-R2,Hammer - Anti-Vibration Rip Claw,79.48
SKU-3IT906P8,Hammer - 16oz Steel Claw,99,SKU-3IT906P8-R3,Hammer - Lightweight Titanium 16oz,86.71
SKU-S97PENI9,Air Conditioner - 1.5 Ton Split AC,3649,SKU-S97PENI9-R1,Air Conditioner - Window Unit 1 Ton,2943.38
SKU-S97PENI9,Air Conditioner - 1.5 Ton Split AC,3649,SKU-S97PENI9-R2,"Air Conditioner - Portable 12,000 BTU",3307.95
SKU-S97PENI9,Air Conditioner - 1.5 Ton Split AC,3649,SKU-S97PENI9-R3,Air Conditioner - Energy Efficient Split 2 Ton,2979.73
SKU-GFYB69MH,Power Drill - Cordless 20V Lithium-Ion,49.94,SKU-GFYB69MH-R1,Power Drill - Brushless 18V Compact,51.78
SKU-GFYB69MH,Power Drill - Cordless 20V Lithium-Ion,49.94,SKU-GFYB69MH-R2,Power Drill - Combo Kit Hammer Drill,50.12
SKU-GFYB69MH,Power Drill - Cordless 20V Lithium-Ion,49.94,SKU-GFYB69MH-R3,Power Drill - Lightweight Corded 6 Amp,42.68
SKU-JXIZ80B3,Ceiling Fan - 52-inch with Remote,198.44,SKU-JXIZ80B3-R1,Ceiling Fan - 44-inch Low Profile,208.9
SKU-JXIZ80B3,Ceiling Fan - 52-inch with Remote,198.44,SKU-JXIZ80B3-R2,Ceiling Fan - 60-inch Outdoor Rated,159.31
SKU-JXIZ80B3,Ceiling Fan - 52-inch with Remote,198.44,SKU-JXIZ80B3-R3,Ceiling Fan - Modern 52-inch with LED,217.24
SKU-QRY4PYU5,Lawn Mower - Gas Powered 21-inch,699,SKU-QRY4PYU5-R1,Lawn Mower - Electric 14-inch,745.52
SKU-QRY4PYU5,Lawn Mower - Gas Powered 21-inch,699,SKU-QRY4PYU5-R2,Lawn Mower - Self-Propelled 22-inch,646.99
SKU-QRY4PYU5,Lawn Mower - Gas Powered 21-inch,699,SKU-QRY4PYU5-R3,Lawn Mower - Battery Powered 20-inch,706.53
SKU-JAZ91ZWW,Circular Saw - 7-1/4 inch 15 Amp,199.99,SKU-JAZ91ZWW-R1,Circular Saw - 6-1/2 inch Cordless,229.49
SKU-JAZ91ZWW,Circular Saw - 7-1/4 inch 15 Amp,199.99,SKU-JAZ91ZWW-R2,Circular Saw - Worm Drive Heavy Duty,189.99
SKU-JAZ91ZWW,Circular Saw - 7-1/4 inch 15 Amp,199.99,SKU-JAZ91ZWW-R3,Circular Saw - Compact Trim Saw,227.99
SKU-P6461NX1,Refrigerator - 18 cu ft Top Freezer,588.99,SKU-P6461NX1-R1,Refrigerator - French Door 25 cu ft,675.99
SKU-P6461NX1,Refrigerator - 18 cu ft Top Freezer,588.99,SKU-P6461NX1-R2,Refrigerator - Compact Mini 3.1 cu ft,520.99
SKU-P6461NX1,Refrigerator - 18 cu ft Top Freezer,588.99,SKU-P6461NX1-R3,Refrigerator - Side-by-Side 22 cu ft,591.99
